X (mm)	Y (mm)	Z (mm)	tan(thetaX)	tan(thetaY)	devZ (mm)	devTanX	devTanY
-300.0	544.7058823529413	0.0	0.0	0.00120659378336235	0.0	0.0061946124733714665	0.00120659378336235
-300.0	534.764705882353	0.0	0.0	0.0010220679320702753	0.0	0.00631352733255277	0.0010220679320702753
-300.0	524.8235294117648	0.0	0.0	0.0008321688861057194	0.0	0.006430541215647941	0.0008321688861057194
-300.0	514.8823529411766	0.0	0.0	0.0006383923928443634	0.0	0.006543864299263303	0.0006383923928443634
-300.0	504.94117647058835	0.0	0.0	0.00044199747232622047	0.0	0.006651719640306544	0.00044199747232622047
-300.0	495.0000000000001	0.0	0.0	0.00024409490811120392	0.0	0.006752364851070425	0.00024409490811120392
-300.0	485.0588235294119	0.0	0.0	4.573573865265245e-05	0.0	0.006844113775000969	4.573573865265245e-05
-300.0	475.11764705882365	0.0	0.0	-0.00015200025143790702	0.0	0.006925358163109821	-0.00015200025143790702
-300.0	465.1764705882354	0.0	0.0	-0.0003479160401264973	0.0	0.00699458935094321	-0.0003479160401264973
-300.0	455.2352941176472	0.0	0.0	-0.0005406090127525658	0.0	0.007050419935972749	-0.0005406090127525658
-300.0	445.29411764705895	0.0	0.0	-0.0007283978096597114	0.0	0.007091605455229262	-0.0007283978096597114
-300.0	435.3529411764707	0.0	0.0	-0.0009093308974582801	0.0	0.007117066062963908	-0.0009093308974582801
-300.0	425.4117647058825	0.0	0.0	-0.0010812598877892874	0.0	0.007125908208094437	-0.0010812598877892874
-300.0	415.47058823529426	0.0	0.0	-0.0012419196513304977	0.0	0.007117446209441084	-0.0012419196513304977
-300.0	405.529411764706	0.0	0.0	-0.0013890084424979933	0.0	0.0070912188101192805	-0.0013890084424979933
-300.0	395.5882352941178	0.0	0.0	-0.0015202680248699984	0.0	0.007046987306613753	-0.0015202680248699984
-300.0	385.64705882352956	0.0	0.0	-0.0016335637974069172	0.0	0.006984723312703818	-0.0016335637974069172
-300.0	375.70588235294133	0.0	0.0	-0.0017269649214196946	0.0	0.00690459584062309	-0.0017269649214196946
-300.0	365.7647058823531	0.0	0.0	-0.0017988244481081425	0.0	0.006806958381316312	-0.0017988244481081425
-300.0	355.82352941176487	0.0	0.0	-0.001847859446372075	0.0	0.00669233598399667	-0.001847859446372075
-300.0	345.88235294117663	0.0	0.0	-0.0018732311305133707	0.0	0.006561412335169614	-0.0018732311305133707
-300.0	335.9411764705884	0.0	0.0	-0.0018746249874165251	0.0	0.006415016837308382	-0.0018746249874165251
-300.0	326.00000000000006	0.0	0.0	-0.001852329429174504	0.0	0.006254111687375051	-0.001852329429174504
